TYPE: PRACTICE
START_TIME: 2026-08-22T13:25:09.593812
START_SPEED_KMH: 135.2
LAP_TIME_MS: 69945
elapsed_ms,distance_m,speed_kmh,throttle,brake,steering,pos_x,pos_y,pos_z
0,0.0,135.2,1.00,0.00,,-151.1,10.5,-179.9
221,8.2,136.0,1.00,0.00,,-143.0,10.5,-179.6
424,15.8,136.8,1.00,0.00,,-135.4,10.5,-179.4
641,21.5,137.3,1.00,0.00,,-129.7,10.5,-179.3
847,32.3,138.4,1.00,0.00,,-118.8,10.6,-179.1
1048,40.1,139.1,1.00,0.00,,-111.1,10.6,-179.0
1249,47.8,139.8,1.00,0.00,,-103.3,10.6,-178.9
1454,55.6,140.5,1.00,0.00,,-95.5,10.7,-178.9
1671,64.1,141.3,1.00,0.00,,-87.0,10.7,-178.9
1871,72.0,142.0,1.00,0.00,,-79.2,10.7,-179.0
2074,79.9,142.6,1.00,0.00,,-71.2,10.8,-179.1
2283,88.5,143.3,0.80,0.00,,-62.6,10.8,-179.1
2483,96.5,142.8,0.00,0.00,,-54.7,10.9,-179.2
2686,104.4,142.4,0.13,0.00,,-46.8,11.1,-179.3
2900,113.0,142.9,1.00,0.00,,-38.2,11.3,-179.3
3116,121.6,143.3,1.00,0.00,,-29.5,11.6,-179.4
3324,129.6,142.7,0.00,0.00,,-21.6,12.0,-179.5
3534,138.0,136.6,0.00,0.11,,-13.2,12.3,-179.5
3734,145.4,129.5,0.00,0.95,,-5.8,12.6,-179.5
3934,152.4,122.4,0.49,0.90,,1.2,12.9,-179.5
4134,158.9,115.2,0.00,0.89,,7.7,13.2,-179.5
4335,165.1,108.2,0.75,0.87,,13.9,13.5,-179.4
4535,171.0,101.7,0.98,0.84,,19.8,13.7,-179.3
4751,176.9,94.5,0.00,0.79,,25.6,13.9,-179.1
4951,181.9,88.4,0.00,0.80,,30.7,14.1,-178.8
5154,186.3,82.9,0.00,0.80,,35.0,14.2,-178.5
5370,191.4,75.8,0.00,0.83,,40.1,14.3,-177.8
5586,195.8,69.2,0.00,0.87,,44.4,14.4,-177.1
5871,199.4,62.7,1.00,0.87,,48.0,14.5,-176.3
6088,204.2,53.6,0.00,0.90,,52.6,14.5,-174.9
6289,207.0,47.1,0.00,0.91,,55.2,14.5,-173.9
6497,209.5,41.0,0.00,0.92,,57.5,14.5,-173.0
6705,211.7,34.1,0.00,0.93,,59.5,14.6,-172.1
6946,213.2,28.9,0.00,0.95,,60.8,14.6,-171.5
7156,215.1,20.0,0.00,0.97,,62.6,14.6,-170.7
7359,216.0,13.8,0.00,0.98,,63.4,14.6,-170.3
7571,216.6,7.1,0.00,0.98,,64.0,14.6,-170.0
7641,216.7,5.2,0.00,0.97,,64.1,14.6,-170.0
