TYPE: TARGET
START_TIME: 2026-08-22T13:19:49.002116
START_SPEED_KMH: 135.2
LAP_TIME_MS: 69945
elapsed_ms,distance_m,speed_kmh,throttle,brake,steering,pos_x,pos_y,pos_z
0,0.0,135.2,1.00,0.00,,-151.1,10.5,-179.9
269,7.5,135.9,1.00,0.00,,-143.6,10.5,-179.6
486,18.3,137.0,1.00,0.00,,-132.8,10.5,-179.3
702,26.6,137.8,1.00,0.00,,-124.6,10.6,-179.2
903,34.3,138.6,1.00,0.00,,-116.9,10.6,-179.0
1119,42.6,139.4,1.00,0.00,,-108.5,10.6,-179.0
1401,50.4,140.1,1.00,0.00,,-100.7,10.7,-178.9
1601,61.5,141.1,1.00,0.00,,-89.7,10.7,-178.9
1805,69.4,141.8,1.00,0.00,,-81.8,10.7,-179.0
2022,77.9,142.5,1.00,0.00,,-73.2,10.7,-179.0
2238,86.5,143.2,1.00,0.00,,-64.6,10.8,-179.1
2453,95.2,142.9,0.00,0.00,,-56.0,10.9,-179.2
2668,103.7,142.4,0.13,0.00,,-47.4,11.1,-179.3
2869,111.7,142.8,1.00,0.00,,-39.5,11.3,-179.3
3069,119.6,143.2,1.00,0.00,,-31.5,11.6,-179.4
3269,127.6,143.3,0.13,0.00,,-23.6,11.9,-179.5
3486,136.1,138.2,0.00,0.06,,-15.1,12.2,-179.5
3686,143.6,131.2,0.00,0.99,,-7.6,12.6,-179.5
3888,148.3,126.4,0.00,0.90,,-2.9,12.8,-179.5
4103,157.9,116.3,0.00,0.90,,6.7,13.2,-179.5
4304,164.1,109.6,0.49,0.87,,12.9,13.4,-179.4
4520,170.5,102.2,0.98,0.84,,19.3,13.7,-179.3
4720,176.0,95.6,1.00,0.80,,24.8,13.9,-179.2
4920,181.1,89.5,0.00,0.80,,29.9,14.0,-178.9
5120,185.9,83.3,0.00,0.80,,34.7,14.2,-178.5
5324,190.3,77.3,0.00,0.82,,39.1,14.3,-178.0
5538,194.8,70.8,0.00,0.86,,43.5,14.4,-177.3
5751,198.5,64.5,0.87,0.87,,47.1,14.4,-176.5
5956,202.2,57.5,0.00,0.87,,50.6,14.5,-175.5
6172,205.4,50.9,0.00,0.91,,53.7,14.5,-174.5
6372,208.1,44.6,0.00,0.92,,56.2,14.5,-173.5
6574,210.4,38.3,0.00,0.92,,58.3,14.6,-172.6
6788,212.5,31.6,0.00,0.94,,60.2,14.6,-171.8
6989,214.0,25.2,0.00,0.96,,61.6,14.6,-171.1
7190,215.2,19.0,0.00,0.97,,62.7,14.6,-170.6
7390,215.8,15.3,0.00,0.98,,63.2,14.6,-170.4
7607,216.7,6.1,0.00,0.98,,64.0,14.6,-170.0
7645,216.7,5.2,0.00,0.97,,64.1,14.6,-170.0
