TYPE: TARGET
START_TIME: 2026-08-22T13:20:00.053476
START_SPEED_KMH: 137.3
LAP_TIME_MS: 69069
elapsed_ms,distance_m,speed_kmh,throttle,brake,steering,pos_x,pos_y,pos_z
0,0.0,137.3,1.00,0.00,,-151.7,10.5,-179.9
209,10.2,138.3,1.00,0.00,,-141.5,10.5,-179.6
409,17.9,139.0,1.00,0.00,,-133.8,10.5,-179.4
609,25.7,139.8,1.00,0.00,,-126.0,10.6,-179.3
812,33.5,140.4,1.00,0.00,,-118.2,10.6,-179.2
1106,41.3,141.1,1.00,0.00,,-110.4,10.6,-179.1
1311,53.1,142.2,1.00,0.00,,-98.6,10.7,-179.1
1529,61.7,142.9,1.00,0.00,,-90.0,10.7,-179.1
1733,69.7,143.1,0.00,0.00,,-82.0,10.7,-179.1
1944,78.3,142.6,0.11,0.00,,-73.4,10.7,-179.2
2146,86.2,143.3,1.00,0.00,,-65.5,10.8,-179.2
2348,94.2,143.8,1.00,0.00,,-57.5,10.9,-179.3
2562,102.9,144.3,1.00,0.00,,-48.8,11.0,-179.3
2779,111.6,144.8,1.00,0.00,,-40.1,11.3,-179.4
2995,120.3,145.2,1.00,0.00,,-31.4,11.6,-179.4
3195,128.4,145.5,1.00,0.00,,-23.3,11.9,-179.5
3399,136.5,145.9,1.00,0.00,,-15.2,12.2,-179.5
3612,145.3,146.2,1.00,0.00,,-6.4,12.6,-179.6
3825,153.4,144.9,0.00,0.01,,1.7,13.0,-179.6
4029,162.0,138.1,1.00,0.13,,10.2,13.3,-179.6
4230,169.4,131.7,0.00,0.92,,17.7,13.6,-179.3
4430,176.6,125.3,0.00,0.77,,24.8,13.9,-178.9
4637,182.8,120.5,0.00,0.73,,31.0,14.1,-178.3
4847,190.4,114.5,0.00,0.73,,38.5,14.3,-177.2
5047,196.6,109.0,0.00,0.73,,44.6,14.4,-175.9
5247,202.5,103.5,0.00,0.71,,50.3,14.5,-174.4
5447,208.1,98.5,0.00,0.70,,55.6,14.5,-172.6
5647,213.4,93.1,0.00,0.67,,60.5,14.5,-170.6
5848,218.5,88.1,0.00,0.64,,65.0,14.5,-168.4
6048,223.2,83.3,0.00,0.61,,69.1,14.5,-165.9
6251,227.7,78.9,0.00,0.51,,72.7,14.6,-163.3
6465,232.3,75.0,0.75,0.33,,76.1,14.5,-160.2
6665,236.4,72.7,0.00,0.05,,78.9,14.5,-157.1
6866,240.4,71.1,0.00,0.00,,81.1,14.5,-153.8
7086,243.0,70.2,0.00,0.00,,82.4,14.5,-151.5
7289,248.5,68.1,0.00,0.00,,84.4,14.5,-146.5
7500,252.2,66.7,0.46,0.00,,85.3,14.4,-142.8
7719,256.5,66.5,1.00,0.00,,85.6,14.4,-138.5
7933,260.6,67.4,1.00,0.00,,85.4,14.4,-134.5
8134,264.4,68.5,1.00,0.00,,84.8,14.3,-130.8
