TYPE: TARGET
START_TIME: 2026-08-22T13:25:18.254820
START_SPEED_KMH: 128.6
LAP_TIME_MS: 69576
elapsed_ms,distance_m,speed_kmh,throttle,brake,steering,pos_x,pos_y,pos_z
0,0.0,128.6,1.00,0.00,,-235.9,10.2,-177.9
212,6.0,129.2,1.00,0.00,,-230.0,10.3,-178.9
428,13.8,129.9,1.00,0.00,,-222.2,10.3,-179.9
641,21.0,130.7,1.00,0.00,,-215.0,10.3,-180.5
844,28.9,131.5,1.00,0.00,,-207.1,10.3,-180.9
1045,36.3,132.3,1.00,0.00,,-199.8,10.4,-181.1
1246,43.6,133.1,1.00,0.00,,-192.4,10.4,-181.0
1446,51.1,133.9,1.00,0.00,,-185.0,10.4,-180.9
1648,58.5,134.7,1.00,0.00,,-177.5,10.4,-180.7
1893,64.8,135.3,1.00,0.00,,-171.3,10.4,-180.6
2100,75.5,136.5,1.00,0.00,,-160.6,10.4,-180.2
2313,83.7,137.3,1.00,0.00,,-152.3,10.5,-179.9
