TYPE: TARGET
START_TIME: 2026-08-22T13:22:40.292644
START_SPEED_KMH: 137.3
LAP_TIME_MS: 69069
elapsed_ms,distance_m,speed_kmh,throttle,brake,steering,pos_x,pos_y,pos_z
0,0.0,137.3,1.00,0.00,,-151.7,10.5,-179.9
217,8.3,138.1,1.00,0.00,,-143.4,10.5,-179.7
418,16.0,138.8,1.00,0.00,,-135.7,10.5,-179.5
631,24.4,139.6,1.00,0.00,,-127.3,10.6,-179.3
831,32.2,140.3,1.00,0.00,,-119.5,10.6,-179.2
1037,40.0,141.0,1.00,0.00,,-111.7,10.6,-179.1
1251,48.5,141.8,1.00,0.00,,-103.2,10.7,-179.1
1466,57.1,142.5,1.00,0.00,,-94.6,10.7,-179.1
1712,63.7,143.1,1.00,0.00,,-88.0,10.7,-179.1
1915,75.0,142.7,0.01,0.00,,-76.7,10.7,-179.2
2117,82.9,142.9,1.00,0.00,,-68.8,10.8,-179.2
2334,91.5,143.6,1.00,0.00,,-60.1,10.9,-179.3
2537,99.5,144.1,1.00,0.00,,-52.1,11.0,-179.3
2806,107.6,144.6,1.00,0.00,,-44.1,11.2,-179.4
3006,118.3,145.1,1.00,0.00,,-33.4,11.5,-179.4
3217,127.1,145.4,1.00,0.00,,-24.6,11.8,-179.5
3418,135.2,145.8,1.00,0.00,,-16.5,12.2,-179.5
3618,143.3,146.1,1.00,0.00,,-8.4,12.5,-179.6
3819,151.4,145.9,0.00,0.00,,-0.3,12.9,-179.6
4021,156.1,143.1,0.01,0.02,,4.4,13.1,-179.6
4234,167.6,133.1,0.00,0.61,,15.9,13.6,-179.4
4500,174.8,126.9,0.00,0.76,,23.1,13.8,-179.0
4701,183.4,119.9,0.00,0.71,,31.6,14.1,-178.2
4904,190.4,114.5,0.00,0.73,,38.5,14.3,-177.2
5119,197.1,108.5,0.00,0.72,,45.1,14.4,-175.8
5319,203.0,103.2,0.00,0.70,,50.8,14.5,-174.3
5519,208.6,97.9,0.00,0.70,,56.1,14.5,-172.5
5724,213.9,92.7,0.00,0.67,,60.9,14.5,-170.4
5938,219.3,87.3,0.00,0.64,,65.7,14.5,-168.0
6140,224.0,82.5,0.00,0.58,,69.7,14.6,-165.5
6360,228.8,77.9,0.00,0.45,,73.6,14.6,-162.6
6599,232.3,75.0,0.75,0.33,,76.1,14.5,-160.2
