TYPE: TARGET
START_TIME: 2026-08-22T13:22:40.292644
START_SPEED_KMH: 137.3
LAP_TIME_MS: 69069
elapsed_ms,distance_m,speed_kmh,throttle,brake,steering,pos_x,pos_y,pos_z
6807,238.1,72.0,0.00,0.00,,79.9,14.5,-155.7
7021,242.4,70.4,0.00,0.00,,82.1,14.5,-152.1
7221,246.3,68.9,0.00,0.00,,83.7,14.5,-148.6
7421,250.1,67.4,0.00,0.00,,84.8,14.5,-145.0
7625,253.2,66.5,0.58,0.00,,85.4,14.4,-141.9
7838,257.8,66.8,1.00,0.00,,85.6,14.4,-137.3
8039,261.5,67.7,1.00,0.00,,85.3,14.3,-133.6
8239,265.3,68.8,1.00,0.00,,84.5,14.3,-129.9
8442,269.2,70.0,1.00,0.00,,83.3,14.2,-126.2
8656,273.4,71.5,1.00,0.00,,81.5,14.2,-122.3
8912,276.8,72.9,1.00,0.00,,79.8,14.1,-119.4
9127,283.0,75.5,1.00,0.00,,76.1,14.0,-114.5
9331,287.2,77.0,1.00,0.00,,73.1,13.9,-111.5
9541,291.9,78.7,1.00,0.00,,69.5,13.9,-108.5
9757,296.7,80.0,1.00,0.00,,65.6,13.8,-105.8
9957,301.2,81.4,1.00,0.00,,61.6,13.8,-103.7
10159,305.8,82.7,1.00,0.00,,57.4,13.7,-101.9
10377,310.8,84.1,1.00,0.00,,52.6,13.6,-100.3
10591,315.9,85.5,1.00,0.00,,47.7,13.5,-99.2
10791,320.7,86.8,1.00,0.00,,42.9,13.4,-98.6
10991,325.6,88.4,1.00,0.00,,38.0,13.3,-98.3
11203,328.9,89.4,1.00,0.00,,34.8,13.2,-98.3
11409,336.0,92.1,1.00,0.00,,27.6,13.0,-98.8
11610,341.2,93.8,1.00,0.00,,22.5,12.9,-99.3
11810,346.5,95.4,1.00,0.00,,17.2,12.7,-99.9
12010,351.8,97.0,1.00,0.00,,11.9,12.6,-100.5
12210,357.2,97.5,0.00,0.00,,6.5,12.5,-101.1
12410,361.7,97.3,0.07,0.00,,2.1,12.4,-101.7
12614,367.2,98.1,1.00,0.00,,-3.3,12.2,-102.4
12829,374.1,99.8,1.00,0.00,,-10.1,12.1,-103.4
13029,379.7,101.1,1.00,0.00,,-15.7,12.0,-104.2
13230,385.3,102.4,1.00,0.00,,-21.3,11.8,-104.9
13430,391.0,103.6,1.00,0.00,,-27.0,11.7,-105.6
13634,396.8,104.9,1.00,0.00,,-32.7,11.6,-106.3
13848,403.2,106.2,1.00,0.00,,-39.1,11.5,-107.0
14061,409.7,107.5,1.00,0.00,,-45.5,11.3,-107.6
14262,415.7,108.8,1.00,0.00,,-51.5,11.2,-108.1
14466,421.8,110.0,1.00,0.00,,-57.5,11.0,-108.5
14666,427.9,111.2,1.00,0.00,,-63.7,10.9,-108.7
14920,434.7,112.5,1.00,0.00,,-70.4,10.7,-108.8
15130,442.5,113.9,1.00,0.00,,-78.3,10.5,-108.6
15348,449.4,115.0,1.00,0.00,,-85.2,10.4,-108.1
15563,456.4,116.1,1.00,0.00,,-92.1,10.2,-107.4
15764,462.9,117.1,1.00,0.00,,-98.5,10.1,-106.4
15964,469.4,118.2,1.00,0.00,,-104.9,10.0,-105.2
16169,476.0,119.3,1.00,0.00,,-111.4,10.0,-103.8
16383,483.2,120.4,1.00,0.00,,-118.4,9.9,-102.1
16600,490.5,121.5,1.00,0.00,,-125.5,9.8,-100.5
16801,497.3,122.4,1.00,0.00,,-132.1,9.8,-99.0
17002,504.2,123.3,1.00,0.00,,-138.8,9.8,-97.6
17273,510.5,124.3,1.00,0.00,,-145.0,9.7,-96.4
17485,520.9,125.7,1.00,0.00,,-155.3,9.6,-94.9
17698,528.5,126.7,1.00,0.00,,-162.9,9.5,-94.2
17901,535.6,127.5,1.00,0.00,,-170.0,9.4,-93.9
18116,543.3,128.1,1.00,0.00,,-177.7,9.4,-94.1
18331,550.4,128.8,1.00,0.00,,-184.8,9.5,-94.5
18537,558.2,128.7,0.00,0.00,,-192.5,9.6,-95.4
18751,565.8,122.0,0.00,0.07,,-200.0,9.8,-96.6
18956,572.3,114.2,0.00,0.62,,-206.4,9.9,-97.7
19166,579.0,107.3,0.62,0.87,,-213.0,10.2,-98.7
19366,584.7,101.2,0.98,0.80,,-218.8,10.3,-99.4
19570,590.2,95.5,0.00,0.69,,-224.2,10.5,-99.7
19785,595.8,90.1,0.00,0.60,,-229.8,10.5,-99.7
20001,601.0,85.3,0.00,0.58,,-235.0,10.5,-99.2
20201,605.7,81.0,0.00,0.49,,-239.6,10.5,-98.5
20401,610.0,77.0,0.00,0.51,,-243.8,10.5,-97.3
20602,614.2,72.5,0.00,0.51,,-247.6,10.5,-95.7
20825,617.5,69.2,0.00,0.36,,-250.5,10.5,-94.1
21035,622.4,65.1,0.00,0.03,,-254.5,10.5,-91.2
21235,626.0,63.3,0.00,0.00,,-256.9,10.5,-88.6
21435,629.5,61.7,0.36,0.00,,-258.9,10.5,-85.8
21637,632.8,60.2,0.74,0.00,,-260.5,10.6,-82.7
21853,636.4,59.8,1.00,0.00,,-261.5,10.6,-79.3
22067,638.9,60.0,1.00,0.00,,-262.0,10.6,-76.8
22272,643.4,60.8,1.00,0.00,,-262.0,10.6,-72.4
22487,647.1,61.8,1.00,0.00,,-261.4,10.6,-68.7
22687,650.6,62.9,1.00,0.00,,-260.4,10.6,-65.4
22889,654.1,64.3,1.00,0.00,,-258.9,10.6,-62.2
23103,658.1,66.1,1.00,0.00,,-256.8,10.6,-58.9
23303,660.2,67.0,1.00,0.00,,-255.5,10.6,-57.2
23505,665.6,69.7,1.00,0.00,,-251.6,10.7,-53.4
23711,669.5,71.6,1.00,0.00,,-248.5,10.7,-51.1
23922,673.9,73.2,1.00,0.00,,-244.8,10.8,-48.8
24123,678.0,74.7,1.00,0.00,,-241.1,10.9,-47.0
24339,682.6,76.2,1.00,0.00,,-236.8,10.9,-45.4
24539,686.8,77.7,1.00,0.00,,-232.7,11.0,-44.3
24739,691.2,79.0,1.00,0.00,,-228.4,10.9,-43.5
24940,695.6,80.6,1.00,0.00,,-224.0,10.8,-43.1
25183,700.6,82.6,1.00,0.00,,-219.0,10.7,-43.0
25389,706.0,85.0,1.00,0.00,,-213.6,10.5,-43.3
25592,710.4,86.7,1.00,0.00,,-209.3,10.4,-43.8
25793,715.7,88.7,1.00,0.00,,-204.0,10.2,-44.6
26010,721.1,90.6,1.00,0.00,,-198.7,10.1,-45.5
26227,726.6,92.3,1.00,0.00,,-193.3,10.0,-46.7
26427,731.8,93.9,1.00,0.00,,-188.3,9.9,-47.8
26641,737.5,95.7,1.00,0.00,,-182.7,9.8,-49.2
26922,742.4,96.9,0.02,0.00,,-178.0,9.7,-50.4
27126,750.5,96.4,0.13,0.00,,-170.2,9.6,-52.4
27329,755.8,97.5,1.00,0.00,,-165.0,9.6,-53.8
27536,761.3,98.7,1.00,0.00,,-159.7,9.5,-55.1
27746,766.8,99.8,1.00,0.00,,-154.3,9.5,-56.4
27961,772.9,100.9,1.00,0.00,,-148.4,9.6,-57.7
28176,779.5,101.9,1.00,0.00,,-141.9,9.6,-58.7
28391,785.1,102.6,1.00,0.00,,-136.2,9.7,-59.2
28593,791.4,103.4,1.00,0.00,,-130.0,9.7,-59.2
28793,797.1,103.4,0.63,0.00,,-124.3,9.8,-58.9
28993,802.9,103.1,0.47,0.00,,-118.6,9.9,-58.1
29271,808.6,102.5,0.73,0.00,,-113.0,9.9,-57.0
29480,816.7,102.9,1.00,0.00,,-105.2,9.9,-54.7
29695,822.9,103.4,1.00,0.00,,-99.5,9.9,-52.3
29895,828.6,103.7,1.00,0.00,,-94.4,9.8,-49.7
30095,834.4,104.2,1.00,0.00,,-89.5,9.9,-46.6
30300,839.7,104.9,1.00,0.00,,-85.1,9.9,-43.5
30514,846.6,106.0,1.00,0.00,,-79.9,9.9,-39.1
30728,853.0,106.5,1.00,0.00,,-75.4,10.0,-34.5
30928,858.9,106.7,1.00,0.00,,-71.6,10.2,-30.0
31129,864.9,107.1,1.00,0.00,,-68.1,10.3,-25.2
31329,870.8,107.6,1.00,0.00,,-65.0,10.4,-20.1
31529,876.8,108.2,1.00,0.00,,-62.1,10.5,-14.8
31766,881.4,108.6,1.00,0.00,,-60.2,10.5,-10.7
31981,890.5,109.8,1.00,0.00,,-57.0,10.6,-2.2
32196,897.1,110.6,1.00,0.00,,-55.1,10.7,4.2
32396,903.3,111.4,1.00,0.00,,-53.7,10.7,10.2
32602,909.5,112.4,1.00,0.00,,-52.6,10.8,16.3
32873,915.8,113.4,1.00,0.00,,-51.4,10.8,22.5
33084,924.8,114.3,1.00,0.00,,-49.3,10.9,31.2
33292,930.6,115.0,1.00,0.00,,-47.5,11.0,36.7
33500,938.1,115.9,1.00,0.00,,-44.8,11.0,43.8
33714,945.1,116.7,1.00,0.00,,-42.0,11.1,50.1
34001,951.6,117.3,1.00,0.00,,-39.0,11.1,55.9
34215,961.5,118.2,1.00,0.00,,-33.8,11.1,64.3
34420,968.1,119.0,1.00,0.00,,-29.9,11.1,69.6
34634,975.2,119.8,1.00,0.00,,-25.4,11.1,75.2
34837,981.9,120.6,1.00,0.00,,-20.8,11.1,80.1
35038,988.6,121.2,1.00,0.00,,-16.0,11.1,84.8
35250,996.0,122.2,1.00,0.00,,-10.5,11.0,89.6
35451,1002.8,123.0,1.00,0.00,,-5.2,10.9,93.9
35652,1009.7,123.8,1.00,0.00,,0.4,10.8,97.8
35852,1016.6,124.8,1.00,0.00,,6.3,10.7,101.5
36057,1023.5,125.5,1.00,0.00,,12.3,10.7,104.9
36267,1031.1,126.3,1.00,0.00,,19.1,10.7,108.4
36467,1038.2,127.1,1.00,0.00,,25.5,10.7,111.2
36670,1045.3,128.0,1.00,0.00,,32.1,10.7,113.9
36872,1052.4,128.9,1.00,0.00,,38.8,10.7,116.5
37085,1060.2,129.8,1.00,0.00,,46.1,10.7,119.1
37286,1067.5,130.7,1.00,0.00,,53.0,10.7,121.4
37492,1074.8,131.6,1.00,0.00,,60.0,10.6,123.5
37704,1082.7,132.5,1.00,0.00,,67.6,10.6,125.7
37920,1090.7,133.3,1.00,0.00,,75.4,10.6,127.8
38135,1098.8,134.2,1.00,0.00,,83.2,10.6,129.6
38337,1106.3,134.9,1.00,0.00,,90.6,10.6,131.1
38553,1114.4,135.6,1.00,0.00,,98.6,10.7,132.4
38753,1122.0,136.3,1.00,0.00,,106.1,10.7,133.3
38976,1128.3,136.8,1.00,0.00,,112.4,10.8,134.0
39187,1138.5,136.8,0.00,0.00,,122.5,10.9,134.7
39387,1145.9,130.6,0.00,0.07,,130.0,11.1,135.1
39593,1152.4,123.4,0.00,0.52,,136.4,11.2,135.4
39804,1160.1,114.4,0.00,1.00,,144.1,11.3,135.8
40020,1165.7,107.9,0.89,0.98,,149.7,11.5,136.1
40221,1172.4,100.0,1.00,0.88,,156.4,11.6,136.7
40421,1177.8,93.8,0.00,0.77,,161.7,11.7,137.5
40621,1182.8,88.2,0.00,0.75,,166.7,11.8,138.5
40823,1187.6,83.1,0.00,0.68,,171.2,11.8,139.8
41038,1192.4,77.9,0.00,0.57,,175.8,11.8,141.5
41238,1196.6,73.9,0.00,0.47,,179.5,11.7,143.3
41441,1200.6,70.6,0.00,0.41,,182.9,11.7,145.5
41656,1204.8,67.2,0.00,0.32,,186.1,11.6,148.1
41856,1208.5,64.7,0.00,0.24,,188.5,11.6,150.9
42059,1212.0,62.7,0.00,0.00,,190.5,11.5,153.8
42273,1215.7,61.0,0.00,0.00,,192.0,11.5,157.2
42474,1219.1,59.5,0.39,0.00,,192.9,11.5,160.4
42690,1222.6,59.4,1.00,0.00,,193.3,11.4,164.0
42895,1226.0,60.2,0.99,0.00,,193.1,11.4,167.3
43100,1229.0,60.9,1.00,0.00,,192.4,11.4,170.3
43308,1233.0,62.1,1.00,0.00,,191.0,11.3,174.0
43509,1236.5,63.3,1.00,0.00,,189.3,11.3,177.1
43725,1240.4,64.8,1.00,0.00,,187.0,11.3,180.1
43926,1244.0,66.4,1.00,0.00,,184.4,11.3,182.7
44126,1247.8,68.2,1.00,0.00,,181.4,11.3,185.0
44331,1251.6,70.2,1.00,0.00,,178.1,11.3,186.9
44543,1255.9,71.9,1.00,0.00,,174.2,11.4,188.7
44829,1260.0,73.5,1.00,0.00,,170.3,11.4,190.0
45045,1266.2,75.7,1.00,0.00,,164.2,11.4,191.2
45260,1270.8,77.5,1.00,0.00,,159.6,11.4,191.7
45477,1275.5,79.4,1.00,0.00,,154.9,11.3,191.7
45678,1280.0,81.1,1.00,0.00,,150.5,11.2,191.4
45882,1284.6,82.9,1.00,0.00,,146.0,11.1,190.7
46094,1289.6,84.9,1.00,0.00,,141.0,11.0,189.7
46298,1294.4,86.4,1.00,0.00,,136.4,11.0,188.4
46512,1299.7,88.3,1.00,0.00,,131.5,10.9,186.6
46712,1304.6,89.9,1.00,0.00,,126.9,10.8,184.8
46913,1309.7,91.6,1.00,0.00,,122.2,10.8,182.8
47116,1314.8,93.1,1.00,0.00,,117.5,10.8,180.7
47328,1320.5,94.7,1.00,0.00,,112.4,10.8,178.4
47530,1325.8,96.1,1.00,0.00,,107.5,10.7,176.2
47731,1331.2,97.5,0.17,0.00,,102.6,10.7,173.9
47932,1336.6,97.0,0.00,0.00,,97.7,10.7,171.7
48147,1342.4,97.5,1.00,0.00,,92.4,10.7,169.3
48356,1347.0,98.7,1.00,0.00,,88.2,10.7,167.4
48565,1353.9,100.0,1.00,0.00,,81.9,10.7,164.6
48779,1359.9,101.3,1.00,0.00,,76.3,10.7,162.2
48979,1365.6,102.4,1.00,0.00,,71.1,10.7,159.9
49180,1371.3,103.6,1.00,0.00,,65.9,10.7,157.7
49385,1377.1,104.7,1.00,0.00,,60.6,10.7,155.4
49610,1381.5,105.5,1.00,0.00,,56.5,10.7,153.7
49814,1389.9,107.1,1.00,0.00,,48.8,10.7,150.3
50014,1395.9,108.2,1.00,0.00,,43.3,10.7,148.0
50218,1401.9,109.2,1.00,0.00,,37.8,10.7,145.6
50432,1408.5,110.4,1.00,0.00,,31.7,10.7,143.0
50637,1414.7,111.5,1.00,0.00,,26.0,10.7,140.6
50838,1421.0,112.5,1.00,0.00,,20.3,10.7,138.2
51050,1427.8,113.7,1.00,0.00,,14.0,10.7,135.5
51267,1434.7,114.8,1.00,0.00,,7.7,10.7,132.8
51503,1441.6,115.9,1.00,0.00,,1.3,10.7,130.1
51715,1449.2,117.1,1.00,0.00,,-5.7,10.7,127.1
51927,1455.7,118.2,1.00,0.00,,-11.7,10.7,124.5
52134,1462.9,119.3,1.00,0.00,,-18.3,10.7,121.8
52335,1469.5,120.2,1.00,0.00,,-24.4,10.7,119.2
52535,1476.3,121.2,1.00,0.00,,-30.6,10.7,116.5
52736,1483.0,122.2,1.00,0.00,,-36.9,10.7,113.9
52955,1490.4,123.2,1.00,0.00,,-43.7,10.7,111.0
53158,1497.3,124.2,1.00,0.00,,-50.0,10.7,108.3
53367,1504.8,125.2,1.00,0.00,,-56.9,10.7,105.4
53568,1511.8,126.2,1.00,0.00,,-63.4,10.7,102.7
53771,1518.9,127.1,1.00,0.00,,-69.9,10.7,99.9
53971,1526.0,128.0,1.00,0.00,,-76.4,10.7,97.2
54185,1533.7,129.0,1.00,0.00,,-83.5,10.7,94.1
54388,1540.9,129.8,1.00,0.00,,-90.1,10.7,91.3
54590,1548.1,130.8,1.00,0.00,,-96.8,10.7,88.5
54805,1556.1,131.7,1.00,0.00,,-104.1,10.7,85.4
55019,1564.0,132.6,1.00,0.00,,-111.4,10.7,82.3
55223,1571.4,133.5,1.00,0.00,,-118.3,10.7,79.4
55432,1578.9,134.3,1.00,0.00,,-125.1,10.7,76.5
55656,1584.5,134.9,1.00,0.00,,-130.3,10.7,74.3
55870,1595.8,136.1,1.00,0.00,,-140.7,10.7,69.9
56071,1603.4,136.9,1.00,0.00,,-147.7,10.7,66.9
56272,1611.0,137.7,1.00,0.00,,-154.7,10.7,64.0
56488,1619.3,138.5,1.00,0.00,,-162.4,10.7,60.7
56705,1627.7,139.3,1.00,0.00,,-170.1,10.7,57.5
56918,1632.9,139.8,1.00,0.00,,-174.9,10.7,55.5
57121,1643.9,140.8,1.00,0.00,,-185.0,10.7,51.1
57321,1651.8,141.5,1.00,0.00,,-192.3,10.7,48.1
57522,1659.7,142.2,1.00,0.00,,-199.5,10.7,45.0
57722,1667.6,142.9,1.00,0.00,,-206.9,10.7,41.9
57922,1675.6,142.9,0.00,0.00,,-214.2,10.7,38.8
58151,1682.2,142.6,0.08,0.00,,-220.3,10.7,36.3
58357,1692.8,143.5,1.00,0.00,,-230.0,10.7,32.1
58573,1701.5,144.1,1.00,0.00,,-238.0,10.7,28.7
58774,1709.5,144.6,1.00,0.00,,-245.3,10.7,25.5
58974,1717.5,145.0,1.00,0.00,,-252.6,10.7,22.0
59207,1723.6,145.3,1.00,0.00,,-258.0,10.7,19.2
59407,1735.0,145.4,0.29,0.00,,-267.8,10.7,13.3
59610,1743.1,143.9,0.00,0.03,,-274.4,10.6,8.8
59815,1751.0,142.1,0.00,0.09,,-280.8,10.6,4.0
60029,1759.5,140.0,0.41,0.30,,-287.2,10.6,-1.6
60244,1767.9,137.8,0.00,0.16,,-293.2,10.6,-7.4
60507,1774.9,136.0,0.00,0.09,,-297.9,10.6,-12.6
60711,1785.5,133.7,0.00,0.00,,-304.4,10.6,-20.9
60927,1793.5,131.8,0.00,0.00,,-308.8,10.6,-27.6
61146,1801.3,129.9,0.00,0.00,,-312.6,10.6,-34.5
61360,1809.1,128.0,0.31,0.00,,-315.9,10.6,-41.5
61617,1816.2,126.2,0.01,0.00,,-318.5,10.6,-48.1
61826,1825.4,123.7,0.00,0.00,,-321.1,10.6,-57.0
62026,1832.3,121.8,0.00,0.00,,-322.4,10.6,-63.7
62227,1839.0,120.1,0.26,0.00,,-323.3,10.6,-70.3
62427,1845.6,118.8,0.69,0.00,,-323.7,10.6,-76.9
62627,1852.2,118.1,0.82,0.00,,-323.6,10.6,-83.5
62828,1856.6,118.0,0.71,0.00,,-323.3,10.6,-87.9
63028,1865.3,118.1,0.88,0.00,,-322.0,10.6,-96.5
63244,1872.4,118.1,0.70,0.00,,-320.4,10.6,-103.5
63445,1879.0,117.9,0.75,0.00,,-318.6,10.6,-109.8
63645,1885.5,117.7,0.82,0.00,,-316.3,10.6,-115.9
63845,1892.1,117.6,1.00,0.00,,-313.7,10.6,-121.9
64133,1898.6,117.9,1.00,0.00,,-310.6,10.6,-127.7
64345,1908.5,118.7,1.00,0.00,,-305.2,10.6,-136.0
64546,1915.1,119.4,1.00,0.00,,-301.2,10.5,-141.2
64748,1921.8,120.2,1.00,0.00,,-296.8,10.5,-146.2
64948,1928.5,121.0,1.00,0.00,,-292.1,10.4,-151.0
65149,1935.2,121.6,1.00,0.00,,-287.1,10.3,-155.5
65364,1942.6,122.0,1.00,0.00,,-281.3,10.3,-160.1
65570,1949.4,122.4,1.00,0.00,,-275.7,10.2,-163.9
65780,1956.8,122.9,1.00,0.00,,-269.3,10.2,-167.6
65980,1963.6,123.4,1.00,0.00,,-263.2,10.2,-170.6
66181,1970.5,124.1,1.00,0.00,,-256.8,10.2,-173.2
66383,1977.4,124.7,1.00,0.00,,-250.3,10.2,-175.5
66585,1984.4,125.2,1.00,0.00,,-243.6,10.2,-177.3
66798,1991.9,125.8,1.00,0.00,,-236.2,10.3,-178.9
67016,1999.5,126.4,1.00,0.00,,-228.7,10.3,-180.0
67231,2007.2,127.2,1.00,0.00,,-221.1,10.3,-180.7
67431,2014.3,128.0,1.00,0.00,,-214.0,10.3,-181.1
67632,2021.4,128.9,1.00,0.00,,-206.8,10.3,-181.2
67832,2028.6,129.8,1.00,0.00,,-199.6,10.4,-181.2
68038,2035.8,130.6,1.00,0.00,,-192.4,10.4,-181.2
68238,2043.1,131.4,1.00,0.00,,-185.1,10.4,-181.0
68449,2051.1,132.3,1.00,0.00,,-177.2,10.4,-180.8
68649,2057.8,133.1,1.00,0.00,,-170.4,10.4,-180.6
68851,2065.9,134.0,1.00,0.00,,-162.4,10.4,-180.3
69058,2073.4,134.7,1.00,0.00,,-154.9,10.5,-180.1
69133,2076.5,135.1,1.00,0.00,,-151.8,10.5,-179.9
